mes,arquivo_local,arquivo_fonte,url,sha256,bytes,data_download
2016-08,dados/bruto/pdf/2016-08.pdf,2016_08_2.pdf,https://www.fenabrave.org.br/portal/files/2016_08_2.pdf,37b3d9d811932725e3567e3b65275b3ab23dc9d14d05a3234aca2d942880ea75,1360018,2026-09-12T00:54:00+00:00
2016-09,dados/bruto/pdf/2016-09.pdf,2_2016_09_2.pdf,https://www.fenabrave.org.br/portal/files/2_2016_09_2.pdf,d8e5aa0780a40b12db90e5081484d44eb1ba79ecb7642ca6baeea7baca7ca8b7,1365400,2026-09-12T00:54:04+00:00
2016-10,dados/bruto/pdf/2016-10.pdf,2016_10_2.pdf,https://www.fenabrave.org.br/portal/files/2016_10_2.pdf,55f9dc499e77868157d2045c69795ac289632b12a18b3fdc7c0afd74f4e8eb64,1357570,2026-09-12T00:54:08+00:00
2016-11,dados/bruto/pdf/2016-11.pdf,2_2016_11_2.pdf,https://www.fenabrave.org.br/portal/files/2_2016_11_2.pdf,f140de13a9c82c392c0e5c6e397c93c74ea955ef533e75ba36a9c18bfbf258ce,2225751,2026-09-12T00:54:14+00:00
2016-12,dados/bruto/pdf/2016-12.pdf,2_2016_12_2.pdf,https://www.fenabrave.org.br/portal/files/2_2016_12_2.pdf,f400dde8c1c073404e33700f1607bb364c1b65003b701ab6b50ae31f75e73147,1373266,2026-09-12T00:54:19+00:00
2017-01,dados/bruto/pdf/2017-01.pdf,3_2017_01_2.pdf,https://www.fenabrave.org.br/portal/files/3_2017_01_2.pdf,0fd942f98ca36fec8860f1a7ba1de192c6a82266939a3fc8649f1e1af9e1681f,1326577,2026-09-12T00:54:23+00:00
2017-02,dados/bruto/pdf/2017-02.pdf,2017_02_2.pdf,https://www.fenabrave.org.br/portal/files/2017_02_2.pdf,56a03510e4bc39b719f9528b45e33d0189ad6ebe20b58081e57f404960636bd6,1356056,2026-09-12T00:54:27+00:00
2017-03,dados/bruto/pdf/2017-03.pdf,2017_03_2.pdf,https://www.fenabrave.org.br/portal/files/2017_03_2.pdf,e1a65ddd582d942a3264850476b29b778afcd1a5f2437947868c7ff93218b090,1342607,2026-09-12T00:54:31+00:00
2017-04,dados/bruto/pdf/2017-04.pdf,2017_04_2.pdf,https://www.fenabrave.org.br/portal/files/2017_04_2.pdf,26cf6014227f7629f4d237f45056cbffb793bf78ce7510a244d93c0b23d1c5c0,961246,2026-09-12T00:54:35+00:00
2017-05,dados/bruto/pdf/2017-05.pdf,2_2017_05_2.pdf,https://www.fenabrave.org.br/portal/files/2_2017_05_2.pdf,71dc238427251ca3a5c57aceed63f223680e64cf4e467230e2dd70017c43c368,1014935,2026-09-12T00:54:39+00:00
2017-06,dados/bruto/pdf/2017-06.pdf,2017_06_2.pdf,https://www.fenabrave.org.br/portal/files/2017_06_2.pdf,836daf8384136651df00a5ad5359da1c5144a1600db7a2337a8c3b81100e6cff,1054698,2026-09-12T00:54:43+00:00
2017-07,dados/bruto/pdf/2017-07.pdf,2017_07_2.pdf,https://www.fenabrave.org.br/portal/files/2017_07_2.pdf,e84abebf1e00230ae76b0128766dc8bb31b2f9dccf3188dc65ef8f4a86edd3b3,1053522,2026-09-12T00:54:46+00:00
2017-08,dados/bruto/pdf/2017-08.pdf,2017_08_2.pdf,https://www.fenabrave.org.br/portal/files/2017_08_2.pdf,ffda1a32fb88fe2507a89c924870e56c70a15f2c99f2ecbe5ed90d40d5936d8b,1061641,2026-09-12T00:54:50+00:00
2017-09,dados/bruto/pdf/2017-09.pdf,2017_09_2.pdf,https://www.fenabrave.org.br/portal/files/2017_09_2.pdf,880c50daf1a317bd5e90ef98572ee979626e1ca8b530d5e4d44bb3fdcb4b32a1,1048318,2026-09-12T00:54:54+00:00
2017-10,dados/bruto/pdf/2017-10.pdf,2017_10_2.pdf,https://www.fenabrave.org.br/portal/files/2017_10_2.pdf,e232f1f973db98aeb51d10e864fcc6ada7addb6884057cd52fcd52eefb269131,1059971,2026-09-12T00:54:58+00:00
2017-11,dados/bruto/pdf/2017-11.pdf,2017_11_2.pdf,https://www.fenabrave.org.br/portal/files/2017_11_2.pdf,bf62e3efd8cf05c7856092cb79533e3d80e8ac3a4bd2b70edb40460aa02dd98d,777179,2026-09-12T00:55:02+00:00
2017-12,dados/bruto/pdf/2017-12.pdf,2017_12_2.pdf,https://www.fenabrave.org.br/portal/files/2017_12_2.pdf,fd2b1a23fffe3e58e24c49ca870be4801eba3bc34cbd417a6db480a591957248,777174,2026-09-12T00:55:05+00:00
2018-01,dados/bruto/pdf/2018-01.pdf,2018_01_2.pdf,https://www.fenabrave.org.br/portal/files/2018_01_2.pdf,0e4d56b8445cbf6a54e710bedffc9a4db242c228f57bce16ea70f045522162a2,759510,2026-09-12T00:55:08+00:00
2018-02,dados/bruto/pdf/2018-02.pdf,2018_02_2.pdf,https://www.fenabrave.org.br/portal/files/2018_02_2.pdf,b2f72b632f19c1dd681fb1316fb16c9075a03c90cc413f4f97733f2e314dc910,766910,2026-09-12T00:55:12+00:00
2018-03,dados/bruto/pdf/2018-03.pdf,2018_03_2.pdf,https://www.fenabrave.org.br/portal/files/2018_03_2.pdf,db48bcae6d1890ddcac049a9abd2e91f65a67e293611a0eb3ccf9312e5951e9d,762586,2026-09-12T00:55:15+00:00
2018-04,dados/bruto/pdf/2018-04.pdf,2018_04_2.pdf,https://www.fenabrave.org.br/portal/files/2018_04_2.pdf,71746ba115d53860ef8225a3bb588da32e7b55b5667ce0b27b36142412f2ca1e,762937,2026-09-12T00:55:19+00:00
2018-05,dados/bruto/pdf/2018-05.pdf,2018_05_2.pdf,https://www.fenabrave.org.br/portal/files/2018_05_2.pdf,2b60de0926aa8f5c9fd4adc92c1f26c68a125a5bc7464453e410ff6804275096,9035776,2026-09-12T00:55:30+00:00
2018-06,dados/bruto/pdf/2018-06.pdf,2_2018_06_2.pdf,https://www.fenabrave.org.br/portal/files/2_2018_06_2.pdf,7d313c7f984c28bb47ef79b326ed6e8db862b7775efc60f40e110512833a2f21,7274496,2026-09-12T00:55:40+00:00
2018-07,dados/bruto/pdf/2018-07.pdf,2018_07_2.pdf,https://www.fenabrave.org.br/portal/files/2018_07_2.pdf,a9241e6ec5c3b2c5a76919d2242daf68a325da73c156fa090036b58df7b8a9f2,7270400,2026-09-12T00:55:51+00:00
2018-08,dados/bruto/pdf/2018-08.pdf,2018_08_2.pdf,https://www.fenabrave.org.br/portal/files/2018_08_2.pdf,b3a411ee1f1f624c88e04b009a28fb28ac95d061880ef41c686ec3f998cd5bbc,7292131,2026-09-12T00:56:00+00:00
2018-09,dados/bruto/pdf/2018-09.pdf,2018_09_2.pdf,https://www.fenabrave.org.br/portal/files/2018_09_2.pdf,fb9295545e9ff76f9fa312ccdea7a817e1a9da58587db00164f90d4217ae2232,1083636,2026-09-12T00:56:03+00:00
2018-10,dados/bruto/pdf/2018-10.pdf,2018_10_2.pdf,https://www.fenabrave.org.br/portal/files/2018_10_2.pdf,1c8f6355edc80b72051c2ca7e2cb3be90d393838a368dbee1fde883f2af0113c,7294237,2026-09-12T00:56:13+00:00
2018-11,dados/bruto/pdf/2018-11.pdf,2018_11_2.pdf,https://www.fenabrave.org.br/portal/files/2018_11_2.pdf,5fa6a65112187d539f08847c55d7577b18fcfe328fe9212b2618cde2ac83d2ab,7299132,2026-09-12T00:56:22+00:00
2018-12,dados/bruto/pdf/2018-12.pdf,2018_12_2.pdf,https://www.fenabrave.org.br/portal/files/2018_12_2.pdf,9457d34894980f2bd6617e40715d3eea74eed0e1b6307c58df525ab0d278d5b1,7288575,2026-09-12T00:56:33+00:00
2019-01,dados/bruto/pdf/2019-01.pdf,2019_01_2.pdf,https://www.fenabrave.org.br/portal/files/2019_01_2.pdf,6d2e2fdfb3ca4ec0b753759b9dd833fe222bdd86ef57f5879ea1bbebb59c3d52,7270719,2026-09-12T00:56:45+00:00
2019-02,dados/bruto/pdf/2019-02.pdf,2019_02_2.pdf,https://www.fenabrave.org.br/portal/files/2019_02_2.pdf,f46918a54b31edc4e13b010a8501aeca3d8790bf78be1641bfdd0eda31ad65d3,7282288,2026-09-12T00:56:56+00:00
2019-03,dados/bruto/pdf/2019-03.pdf,2019_03_2.pdf,https://www.fenabrave.org.br/portal/files/2019_03_2.pdf,443e85106d40a26f1f51cb572c43c563d5f8364f7d4625e1ebcdd32ad85e8308,7309176,2026-09-12T00:57:07+00:00
2019-04,dados/bruto/pdf/2019-04.pdf,2019_04_2.pdf,https://www.fenabrave.org.br/portal/files/2019_04_2.pdf,ed22f4e719b38919965af8c26f4c8493f2ba17192c825fd790d426e4282d188f,7330798,2026-09-12T00:57:18+00:00
2019-05,dados/bruto/pdf/2019-05.pdf,2019_05_2.pdf,https://www.fenabrave.org.br/portal/files/2019_05_2.pdf,86f924457b0aad0d05c030774e3925ce45978f6edc97f2c80ee58a2a0423b9db,7331667,2026-09-12T00:57:31+00:00
2019-06,dados/bruto/pdf/2019-06.pdf,2_2019_06_2.pdf,https://www.fenabrave.org.br/portal/files/2_2019_06_2.pdf,d60147ae317d191cb6f87ed239a75f1df8512e3f1ef14a17dfd899c0a438ec73,7332013,2026-09-12T00:57:43+00:00
