mes,arquivo_fonte,url,descricao_fonte,data_consulta
2021-07,2021_07_2.pdf,https://www.fenabrave.org.br/portal/files/2021_07_2.pdf,https://online.fliphtml5.com/ordey/hrej/,2026-09-12T00:50:21+00:00
2021-08,2021_08_2.pdf,https://www.fenabrave.org.br/portal/files/2021_08_2.pdf,https://online.fliphtml5.com/ordey/yums/,2026-09-12T00:50:21+00:00
2021-09,2021_09_2.pdf,https://www.fenabrave.org.br/portal/files/2021_09_2.pdf,https://online.fliphtml5.com/ordey/qoyc/,2026-09-12T00:50:21+00:00
2021-10,2021_10_2.pdf,https://www.fenabrave.org.br/portal/files/2021_10_2.pdf,https://online.fliphtml5.com/ordey/epzq/,2026-09-12T00:50:21+00:00
2021-11,2021_11_2.pdf,https://www.fenabrave.org.br/portal/files/2021_11_2.pdf,https://online.fliphtml5.com/ordey/unct/,2026-09-12T00:50:21+00:00
2021-12,2021_12_2.pdf,https://www.fenabrave.org.br/portal/files/2021_12_2.pdf,https://online.fliphtml5.com/ordey/jban/,2026-09-12T00:50:21+00:00
2022-01,2022_01_2.pdf,https://www.fenabrave.org.br/portal/files/2022_01_2.pdf,https://online.fliphtml5.com/ordey/lsfo/,2026-09-12T00:50:23+00:00
2022-02,2022_02_2.pdf,https://www.fenabrave.org.br/portal/files/2022_02_2.pdf,https://online.fliphtml5.com/ordey/fybg/,2026-09-12T00:50:23+00:00
2022-03,2022_03_2.pdf,https://www.fenabrave.org.br/portal/files/2022_03_2.pdf,https://online.fliphtml5.com/ordey/kxkl/,2026-09-12T00:50:23+00:00
2022-04,2022_04_2.pdf,https://www.fenabrave.org.br/portal/files/2022_04_2.pdf,https://online.fliphtml5.com/ordey/ocge/,2026-09-12T00:50:23+00:00
2022-05,2022_05_2.pdf,https://www.fenabrave.org.br/portal/files/2022_05_2.pdf,https://online.fliphtml5.com/ordey/lobl/,2026-09-12T00:50:23+00:00
2022-06,2022_06_2.pdf,https://www.fenabrave.org.br/portal/files/2022_06_2.pdf,https://online.fliphtml5.com/ordey/biww/,2026-09-12T00:50:23+00:00
2022-07,2022_07_2.pdf,https://www.fenabrave.org.br/portal/files/2022_07_2.pdf,https://online.fliphtml5.com/ordey/jwur/,2026-09-12T00:50:23+00:00
2022-08,2022_08_2.pdf,https://www.fenabrave.org.br/portal/files/2022_08_2.pdf,https://online.fliphtml5.com/ordey/lqkz/,2026-09-12T00:50:23+00:00
2022-09,2022_09_2.pdf,https://www.fenabrave.org.br/portal/files/2022_09_2.pdf,https://online.fliphtml5.com/ordey/emzf/,2026-09-12T00:50:23+00:00
2022-10,2022_10_2.pdf,https://www.fenabrave.org.br/portal/files/2022_10_2.pdf,https://online.fliphtml5.com/ordey/iyxx/,2026-09-12T00:50:23+00:00
2022-11,2022_11_2.pdf,https://www.fenabrave.org.br/portal/files/2022_11_2.pdf,https://online.fliphtml5.com/ordey/rivv/,2026-09-12T00:50:23+00:00
2022-12,2022_12_2.pdf,https://www.fenabrave.org.br/portal/files/2022_12_2.pdf,https://online.fliphtml5.com/ordey/msoq/,2026-09-12T00:50:23+00:00
2023-01,2023_01_2.pdf,https://www.fenabrave.org.br/portal/files/2023_01_2.pdf,https://online.fliphtml5.com/ordey/wrot/,2026-09-12T00:50:25+00:00
2023-02,2023_02_2.pdf,https://www.fenabrave.org.br/portal/files/2023_02_2.pdf,https://online.fliphtml5.com/ordey/xgqj/,2026-09-12T00:50:25+00:00
2023-03,2023_02_3.pdf,https://www.fenabrave.org.br/portal/files/2023_02_3.pdf,https://online.fliphtml5.com/ordey/qnsk/,2026-09-12T00:50:25+00:00
2023-04,2023_04_2.pdf,https://www.fenabrave.org.br/portal/files/2023_04_2.pdf,https://online.fliphtml5.com/ordey/cyhq/,2026-09-12T00:50:25+00:00
2023-05,2023_05_2.pdf,https://www.fenabrave.org.br/portal/files/2023_05_2.pdf,https://online.fliphtml5.com/ordey/ujym/,2026-09-12T00:50:25+00:00
2023-06,2023_06_2.pdf,https://www.fenabrave.org.br/portal/files/2023_06_2.pdf,https://online.fliphtml5.com/ordey/jyaz/,2026-09-12T00:50:25+00:00
2023-07,2023_07_2.pdf,https://www.fenabrave.org.br/portal/files/2023_07_2.pdf,https://online.fliphtml5.com/ordey/cwfm/,2026-09-12T00:50:25+00:00
2023-08,2023_08_2.pdf,https://www.fenabrave.org.br/portal/files/2023_08_2.pdf,https://online.fliphtml5.com/ordey/tdvs/,2026-09-12T00:50:25+00:00
2023-09,2023_09_2.pdf,https://www.fenabrave.org.br/portal/files/2023_09_2.pdf,https://online.fliphtml5.com/ordey/zufi/,2026-09-12T00:50:25+00:00
2023-10,2023_10_2.pdf,https://www.fenabrave.org.br/portal/files/2023_10_2.pdf,https://online.fliphtml5.com/ordey/wjnw/,2026-09-12T00:50:25+00:00
2023-11,2023_11_2.pdf,https://www.fenabrave.org.br/portal/files/2023_11_2.pdf,https://online.fliphtml5.com/ordey/fgcd/,2026-09-12T00:50:25+00:00
2023-12,2023_12_2.pdf,https://www.fenabrave.org.br/portal/files/2023_12_2.pdf,https://fliphtml5.com/ordey/wkmh,2026-09-12T00:50:25+00:00
2024-01,2024_01_02.pdf,https://www.fenabrave.org.br/portal/files/2024_01_02.pdf,https://online.fliphtml5.com/ordey/acow/,2026-09-12T00:50:27+00:00
2024-02,2024_02_02.pdf,https://www.fenabrave.org.br/portal/files/2024_02_02.pdf,https://online.fliphtml5.com/ordey/jfmj/,2026-09-12T00:50:27+00:00
2024-03,2024_03_02.pdf,https://www.fenabrave.org.br/portal/files/2024_03_02.pdf,https://online.fliphtml5.com/ordey/hnyy/,2026-09-12T00:50:27+00:00
2024-04,2024_04_02.pdf,https://www.fenabrave.org.br/portal/files/2024_04_02.pdf,https://online.fliphtml5.com/ordey/fchd/,2026-09-12T00:50:27+00:00
2024-05,2024_05_02.pdf,https://www.fenabrave.org.br/portal/files/2024_05_02.pdf,https://online.fliphtml5.com/ordey/xogb/,2026-09-12T00:50:27+00:00
2024-06,2024_06_02.pdf,https://www.fenabrave.org.br/portal/files/2024_06_02.pdf,https://online.fliphtml5.com/ordey/qlxp/,2026-09-12T00:50:27+00:00
2024-07,2024_07_02.pdf,https://www.fenabrave.org.br/portal/files/2024_07_02.pdf,https://online.fliphtml5.com/ordey/eeos/,2026-09-12T00:50:27+00:00
2024-08,2024_08_02.pdf,https://www.fenabrave.org.br/portal/files/2024_08_02.pdf,https://online.fliphtml5.com/ordey/psdy/,2026-09-12T00:50:27+00:00
2024-09,2024_09_02.pdf,https://www.fenabrave.org.br/portal/files/2024_09_02.pdf,https://online.fliphtml5.com/ordey/wesk/,2026-09-12T00:50:27+00:00
2024-10,2024_10_02.pdf,https://www.fenabrave.org.br/portal/files/2024_10_02.pdf,https://online.fliphtml5.com/ordey/nouk/,2026-09-12T00:50:27+00:00
2024-11,2024_11_02.pdf,https://www.fenabrave.org.br/portal/files/2024_11_02.pdf,https://online.fliphtml5.com/ordey/bstx/,2026-09-12T00:50:27+00:00
2024-12,2024_12_02.pdf,https://www.fenabrave.org.br/portal/files/2024_12_02.pdf,https://online.fliphtml5.com/ordey/lidp/,2026-09-12T00:50:27+00:00
2025-01,2025_01_02.pdf,https://www.fenabrave.org.br/portal/files/2025_01_02.pdf,https://online.fliphtml5.com/ordey/koit/,2026-09-12T00:50:29+00:00
2025-02,2025_02_02.pdf,https://www.fenabrave.org.br/portal/files/2025_02_02.pdf,https://online.fliphtml5.com/ordey/lkdl/,2026-09-12T00:50:29+00:00
2025-03,2025_03_02.pdf,https://www.fenabrave.org.br/portal/files/2025_03_02.pdf,https://online.fliphtml5.com/ordey/blhr/,2026-09-12T00:50:29+00:00
2025-04,2025_04_02.pdf,https://www.fenabrave.org.br/portal/files/2025_04_02.pdf,https://online.fliphtml5.com/ordey/quax/,2026-09-12T00:50:29+00:00
2025-05,2025_05_02.pdf,https://www.fenabrave.org.br/portal/files/2025_05_02.pdf,https://online.fliphtml5.com/ordey/ltdu/,2026-09-12T00:50:29+00:00
2025-06,2025_06_02.pdf,https://www.fenabrave.org.br/portal/files/2025_06_02.pdf,https://online.fliphtml5.com/ordey/vzjm/,2026-09-12T00:50:29+00:00
2025-07,2025_07_02.pdf,https://www.fenabrave.org.br/portal/files/2025_07_02.pdf,https://online.fliphtml5.com/ordey/pcmq/,2026-09-12T00:50:29+00:00
2025-08,2025_08_02.pdf,https://www.fenabrave.org.br/portal/files/2025_08_02.pdf,https://online.fliphtml5.com/ordey/rlje/,2026-09-12T00:50:29+00:00
2025-09,2025_09_02.pdf,https://www.fenabrave.org.br/portal/files/2025_09_02.pdf,https://online.fliphtml5.com/ordey/mtvl/,2026-09-12T00:50:29+00:00
2025-10,2025_10_02.pdf,https://www.fenabrave.org.br/portal/files/2025_10_02.pdf,https://online.fliphtml5.com/ordey/adlo/,2026-09-12T00:50:29+00:00
2025-11,2025_11_02.pdf,https://www.fenabrave.org.br/portal/files/2025_11_02.pdf,https://online.fliphtml5.com/ordey/kkqt/,2026-09-12T00:50:29+00:00
2025-12,2025_12_02.pdf,https://www.fenabrave.org.br/portal/files/2025_12_02.pdf,https://online.fliphtml5.com/ordey/gayj/,2026-09-12T00:50:29+00:00
2026-01,2026_01_02.pdf,https://www.fenabrave.org.br/portal/files/2026_01_02.pdf,https://online.fliphtml5.com/ordey/ohoz/,2026-09-12T00:50:32+00:00
2026-02,2026_02_02.pdf,https://www.fenabrave.org.br/portal/files/2026_02_02.pdf,https://online.fliphtml5.com/ordey/xccx/,2026-09-12T00:50:32+00:00
2026-03,2026_03_02.pdf,https://www.fenabrave.org.br/portal/files/2026_03_02.pdf,https://online.fliphtml5.com/ordey/iryq/,2026-09-12T00:50:32+00:00
2026-04,2026_04_02.pdf,https://www.fenabrave.org.br/portal/files/2026_04_02.pdf,https://online.fliphtml5.com/ordey/xgru/,2026-09-12T00:50:32+00:00
2026-05,2026_05_02.pdf,https://www.fenabrave.org.br/portal/files/2026_05_02.pdf,https://online.fliphtml5.com/ordey/thxj/,2026-09-12T00:50:32+00:00
2026-06,2026_06_02.pdf,https://www.fenabrave.org.br/portal/files/2026_06_02.pdf,https://online.fliphtml5.com/ordey/kweu/,2026-09-12T00:50:32+00:00
2026-07,2026_07_02.pdf,https://www.fenabrave.org.br/portal/files/2026_07_02.pdf,https://online.fliphtml5.com/ordey/wyft/,2026-09-12T00:50:32+00:00
2026-08,2026_08_02.pdf,https://www.fenabrave.org.br/portal/files/2026_08_02.pdf,https://online.fliphtml5.com/ordey/vvzq/,2026-09-12T00:50:32+00:00
