mes,segmento,nome_completo_fonte,valor_ranking,valor_sub_segmento,diferenca,arquivo_origem
2008-05,comerciais_leves,VW/SAVEIRO,2563,2562,1,2008-05.pdf
2008-05,comerciais_leves,FIAT/DOBLO,95,94,1,2008-05.pdf
2008-06,comerciais_leves,VW/KOMBI,2337,2336,1,2008-06.pdf
2008-06,comerciais_leves,FIAT/DOBLO,100,98,2,2008-06.pdf
2008-07,comerciais_leves,FIAT/STRADA,6868,6866,2,2008-07.pdf
2008-08,comerciais_leves,FIAT/STRADA,6090,6083,7,2008-08.pdf
2008-08,comerciais_leves,VW/SAVEIRO,2867,2866,1,2008-08.pdf
2008-08,comerciais_leves,AGRALE/AGRALE MARRUA,9,8,1,2008-08.pdf
2008-09,comerciais_leves,FIAT/STRADA,7017,7016,1,2008-09.pdf
2008-09,comerciais_leves,FIAT/DOBLO,183,181,2,2008-09.pdf
2008-09,comerciais_leves,PEUGEOT/PARTNER,143,141,2,2008-09.pdf
2008-10,comerciais_leves,VW/SAVEIRO,2655,2651,4,2008-10.pdf
2008-10,comerciais_leves,FIAT/DOBLO,165,162,3,2008-10.pdf
2008-11,automoveis,HONDA/CIVIC,6531,6530,1,2008-11.pdf
2008-11,comerciais_leves,FIAT/STRADA,5773,5772,1,2008-11.pdf
2008-11,comerciais_leves,FIAT/DOBLO,137,136,1,2008-11.pdf
2008-11,comerciais_leves,AGRALE/AGRALE MARRUA,4,3,1,2008-11.pdf
2008-12,comerciais_leves,VW/SAVEIRO,1436,1435,1,2008-12.pdf
2008-12,comerciais_leves,FIAT/DOBLO,91,90,1,2008-12.pdf
2009-01,comerciais_leves,FIAT/DOBLO,77,75,2,2009-01.pdf
2009-02,comerciais_leves,FIAT/DOBLO,97,96,1,2009-02.pdf
2009-04,automoveis,HONDA/CIVIC,4200,4199,1,2009-04.pdf
2009-04,comerciais_leves,FIAT/DOBLO,107,106,1,2009-04.pdf
2009-05,comerciais_leves,VW/SAVEIRO,2310,2309,1,2009-05.pdf
