mes,segmento,nome_completo_fonte,unidades_acumulado,acumulado_esperado,diferenca
2025-11,automoveis,BYD/DOLPHIN,12870,12873.0,-3.0
2018-09,automoveis,GM/ONIX,146217,146220.0,-3.0
2025-11,automoveis,FIAT/FASTBACK,51791,51794.0,-3.0
2021-07,automoveis,TOYOTA/COROLLA,23821,23824.0,-3.0
2026-04,automoveis,VW/POLO,32631,32634.0,-3.0
2025-10,automoveis,GM/ONIX,62367,62370.0,-3.0
2022-12,automoveis,JEEP/RENEGADE,51398,51401.0,-3.0
2018-11,automoveis,VW/POLO,63556,63559.0,-3.0
2017-08,comerciais_leves,VW/SAVEIRO,27908,27911.0,-3.0
2025-10,automoveis,HYUNDAI/CRETA,60308,60311.0,-3.0
2026-03,automoveis,BYD/SONG,12555,12558.0,-3.0
2025-11,automoveis,GWM/HAVAL H6,28585,28588.0,-3.0
2021-09,comerciais_leves,FIAT/TORO,54647,54649.0,-2.0
2025-09,automoveis,OMODA JAECOO/JAECOO 7,2684,2686.0,-2.0
2025-08,comerciais_leves,GM/S10,18767,18769.0,-2.0
2017-11,automoveis,JEEP/COMPASS,44068,44070.0,-2.0
2025-09,automoveis,M.BENZ/CLASSE C,1091,1089.0,2.0
2025-09,automoveis,BYD/DOLPHIN,10345,10347.0,-2.0
2015-10,automoveis,JEEP/RENEGADE,26134,26136.0,-2.0
2021-10,automoveis,JEEP/RENEGADE,65393,65395.0,-2.0
2021-10,automoveis,JEEP/COMPASS,58955,58957.0,-2.0
2025-08,automoveis,PEUGEOT/208,5814,5816.0,-2.0
2025-08,automoveis,VW/NIVUS,32930,32932.0,-2.0
2025-08,automoveis,VW/POLO,83061,83063.0,-2.0
2021-11,automoveis,GM/ONIX,62096,62098.0,-2.0
2021-10,comerciais_leves,VW/SAVEIRO,22099,22101.0,-2.0
2021-10,comerciais_leves,MITSUBISHI/L200,10190,10192.0,-2.0
2025-08,automoveis,BYD/KING,8301,8303.0,-2.0
2025-08,comerciais_leves,FIAT/FIORINO,13487,13489.0,-2.0
2017-08,comerciais_leves,MITSUBISHI/L200,6666,6668.0,-2.0
2025-08,automoveis,GM/TRACKER,39152,39154.0,-2.0
2025-08,automoveis,HYUNDAI/HB20,49980,49982.0,-2.0
2025-08,automoveis,NISSAN/VERSA,6950,6952.0,-2.0
2017-08,comerciais_leves,FORD/RANGER,10048,10050.0,-2.0
2021-08,comerciais_leves,NISSAN/FRONTIER,6837,6839.0,-2.0
2021-08,automoveis,JEEP/RENEGADE,54170,54172.0,-2.0
2021-05,automoveis,HONDA/FIT,3154,3156.0,-2.0
2021-05,automoveis,GM/ONIX PLUS,27341,27343.0,-2.0
2021-08,automoveis,TOYOTA/COROLLA CROSS,20166,20168.0,-2.0
2021-05,automoveis,VW/NIVUS,17112,17114.0,-2.0
2021-05,automoveis,TOYOTA/YARIS HB,10205,10207.0,-2.0
