mes,segmento,nome_completo_fonte,unidades_mes_anterior,mes_anterior_observado,diferenca
2018-01,automoveis,GM/ONIX,17506,17508.0,-2.0
2018-01,automoveis,FORD/FOCUS,404,406.0,-2.0
2017-12,automoveis,RENAULT/SANDERO,3792,3794.0,-2.0
2022-08,automoveis,TOYOTA/COROLLA,4033,4035.0,-2.0
2019-09,comerciais_leves,FIAT/STRADA,6723,6725.0,-2.0
2017-11,comerciais_leves,GM/S10,2688,2690.0,-2.0
2024-08,automoveis,PEUGEOT/208,2369,2371.0,-2.0
2022-07,comerciais_leves,TOYOTA/HILUX,3843,3845.0,-2.0
2022-09,automoveis,GM/ONIX,9819,9821.0,-2.0
2022-03,automoveis,AUDI/A3 SEDAN,58,56.0,2.0
2022-03,automoveis,AUDI/Q5,128,126.0,2.0
2016-01,automoveis,HONDA/HR-V,6535,6537.0,-2.0
2016-01,automoveis,RENAULT/SANDERO,8339,8341.0,-2.0
2026-07,automoveis,OMODA JAECOO/JAECOO 7,2729,2731.0,-2.0
2016-01,automoveis,VW/GOL,6496,6498.0,-2.0
2016-02,automoveis,GM/ONIX,12950,12952.0,-2.0
2022-03,automoveis,FIAT/SIENA,2639,2637.0,2.0
2022-03,automoveis,FORD/TERRITORY,66,64.0,2.0
2021-10,automoveis,JEEP/RENEGADE,4501,4503.0,-2.0
2026-07,automoveis,FIAT/FASTBACK,4276,4278.0,-2.0
2016-02,comerciais_leves,FIAT/STRADA,3989,3991.0,-2.0
2025-11,automoveis,VW/TERA,10160,10162.0,-2.0
2026-01,automoveis,HYUNDAI/CRETA,8158,8160.0,-2.0
2026-01,automoveis,GWM/HAVAL H6,3379,3381.0,-2.0
2016-04,automoveis,BMW/X1,71,69.0,2.0
2026-07,automoveis,BYD/DOLPHIN MINI,6455,6457.0,-2.0
2022-03,automoveis,GM/SPIN,90,88.0,2.0
2026-01,automoveis,BYD/SONG,7473,7475.0,-2.0
2026-01,automoveis,BYD/DOLPHIN MINI,3887,3889.0,-2.0
2016-04,automoveis,VW/GOL,5294,5296.0,-2.0
2025-12,automoveis,VW/NIVUS,3122,3124.0,-2.0
2016-05,automoveis,PEUGEOT/2008,949,951.0,-2.0
2020-12,automoveis,HONDA/HR-V,3698,3700.0,-2.0
2022-03,automoveis,JAC/E-JS1,50,48.0,2.0
2026-06,comerciais_leves,FIAT/TORO,4403,4405.0,-2.0
2021-01,comerciais_leves,FIAT/TORO,6981,6983.0,-2.0
2021-06,automoveis,HYUNDAI/HB20,7288,7290.0,-2.0
2021-12,automoveis,GM/ONIX,9325,9327.0,-2.0
2021-11,comerciais_leves,NISSAN/FRONTIER,1034,1036.0,-2.0
2015-09,automoveis,GM/PRISMA,4786,4788.0,-2.0
2021-05,automoveis,TOYOTA/HILUX SW4,1178,1180.0,-2.0
2021-11,automoveis,JEEP/COMPASS,6095,6097.0,-2.0
2021-07,automoveis,FIAT/ARGO,9380,9382.0,-2.0
2021-07,automoveis,FIAT/MOBI,7527,7529.0,-2.0
2015-06,automoveis,FIAT/UNO,6853,6855.0,-2.0
2015-07,automoveis,VW/FOX/CROSS FOX,7002,7004.0,-2.0
2005-02,automoveis,GM/KADETT,1,3.0,-2.0
2015-10,comerciais_leves,RENAULT/MASTER,590,588.0,2.0
2026-08,comerciais_leves,FIAT/STRADA,14910,14912.0,-2.0
2022-02,comerciais_leves,CITROEN/JUMPY,200,198.0,2.0
2015-10,comerciais_leves,VW/SAVEIRO,4354,4356.0,-2.0
2015-11,automoveis,FIAT/PALIO,8126,8128.0,-2.0
2026-04,automoveis,VW/POLO,11049,11051.0,-2.0
2021-07,automoveis,JEEP/COMPASS,6044,6046.0,-2.0
2021-04,automoveis,GM/TRACKER,6408,6410.0,-2.0
2015-11,automoveis,HONDA/HR-V,5446,5448.0,-2.0
2022-02,automoveis,GM/ONIX,5203,5205.0,-2.0
2026-04,automoveis,BYD/DOLPHIN,1850,1852.0,-2.0
2026-05,automoveis,BYD/SONG,6039,6041.0,-2.0
2022-02,automoveis,RENAULT/DUSTER,1443,1445.0,-2.0
2015-11,comerciais_leves,GM/MONTANA,1635,1637.0,-2.0
2015-12,automoveis,FIAT/PALIO,9239,9241.0,-2.0
2015-12,automoveis,GM/ONIX,11989,11991.0,-2.0
2023-06,comerciais_leves,RENAULT/MASTER,1069,1071.0,-2.0
2022-03,automoveis,VOLVO/XC40,91,89.0,2.0
2025-09,automoveis,BYD/SONG,3009,3011.0,-2.0
2016-12,automoveis,GM/ONIX,15698,15700.0,-2.0
2025-09,automoveis,BYD/DOLPHIN,1309,1311.0,-2.0
2003-02,automoveis,AUDI/A4,56,58.0,-2.0
2025-08,comerciais_leves,FIAT/FIORINO,1797,1799.0,-2.0
2025-08,automoveis,VW/POLO,12938,12940.0,-2.0
2025-08,automoveis,PEUGEOT/208,863,865.0,-2.0
2020-07,automoveis,GM/ONIX,6232,6234.0,-2.0
2025-08,automoveis,HYUNDAI/HB20,5517,5519.0,-2.0
2020-06,comerciais_leves,MITSUBISHI/L200,601,603.0,-2.0
2021-01,comerciais_leves,FIAT/STRADA,10388,10390.0,-2.0
2016-11,automoveis,HONDA/HR-V,3756,3758.0,-2.0
2025-08,automoveis,BYD/YUAN,858,860.0,-2.0
2020-05,automoveis,TOYOTA/COROLLA,1333,1335.0,-2.0
2021-09,automoveis,FIAT/ARGO,7709,7711.0,-2.0
2015-04,automoveis,HONDA/FIT,4749,4751.0,-2.0
2012-02,automoveis,MITSUBISHI/LANCER,240,238.0,2.0
2008-04,comerciais_leves,M.BENZ/SPRINTER 313,264,262.0,2.0
2008-03,automoveis,PORSCHE/911,11,9.0,2.0
2025-07,automoveis,BYD/DOLPHIN,1488,1490.0,-2.0
2025-02,automoveis,HYUNDAI/CRETA,5146,5148.0,-2.0
2022-03,comerciais_leves,VW/MAN/EXPRESS,270,268.0,2.0
2025-02,automoveis,FIAT/PULSE,3585,3587.0,-2.0
2025-01,comerciais_leves,RAM/RAMPAGE,1852,1854.0,-2.0
2008-03,comerciais_leves,M.BENZ/SPRINTER 313,281,283.0,-2.0
2026-06,automoveis,HYUNDAI/HB20,8355,8357.0,-2.0
2016-08,automoveis,JEEP/RENEGADE,4742,4744.0,-2.0
2022-03,automoveis,KIA/CERATO,40,38.0,2.0
2022-03,automoveis,KIA/CARNIVAL,41,39.0,2.0
2003-02,automoveis,PEUGEOT/406,31,29.0,2.0
2016-09,automoveis,GM/CRUZE SEDAN,1232,1234.0,-2.0
2020-11,automoveis,RENAULT/SANDERO,2418,2420.0,-2.0
2025-09,automoveis,OMODA JAECOO/JAECOO 7,633,635.0,-2.0
2025-11,automoveis,JEEP/RENEGADE,4261,4263.0,-2.0
2022-03,automoveis,M.BENZ/CLASSE GLB,95,93.0,2.0
2025-08,automoveis,GM/TRACKER,6972,6974.0,-2.0
2023-01,automoveis,VW/NIVUS,4755,4756.0,-1.0
2023-01,automoveis,VW/POLO,2886,2887.0,-1.0
2023-01,automoveis,VW/T CROSS,6181,6182.0,-1.0
2023-01,comerciais_leves,FORD/RANGER,1593,1594.0,-1.0
2023-04,comerciais_leves,RENAULT/MASTER,788,789.0,-1.0
2023-04,automoveis,VW/TAOS,854,855.0,-1.0
2021-09,automoveis,JEEP/COMPASS,6818,6819.0,-1.0
2023-01,comerciais_leves,VW/SAVEIRO,3023,3024.0,-1.0
2023-02,automoveis,FIAT/ARGO,4281,4282.0,-1.0
2023-06,automoveis,HONDA/HR-V,4577,4578.0,-1.0
2023-02,automoveis,VOLVO/XC60,577,578.0,-1.0
2021-11,automoveis,GM/ONIX,5156,5157.0,-1.0
2021-10,automoveis,HONDA/HR-V,3501,3502.0,-1.0
2023-04,automoveis,RENAULT/KWID,6703,6704.0,-1.0
2021-10,automoveis,GM/ONIX,4310,4311.0,-1.0
2023-06,comerciais_leves,FIAT/TORO,4985,4986.0,-1.0
2022-12,comerciais_leves,FORD/TRANSIT,273,274.0,-1.0
2022-12,comerciais_leves,RAM/1500,179,178.0,1.0
2021-11,comerciais_leves,GM/S10,3774,3775.0,-1.0
2023-01,automoveis,GM/ONIX PLUS,8029,8030.0,-1.0
2023-01,automoveis,HYUNDAI/CRETA,6571,6572.0,-1.0
2021-11,automoveis,VW/GOL,5038,5039.0,-1.0
2021-10,comerciais_leves,HYUNDAI/HR,325,326.0,-1.0
2021-11,automoveis,TOYOTA/YARIS HB,1086,1087.0,-1.0
