marca_chave,modelo_chave,nome_planilha,unidades,meses,primeiro_mes
,CHANGAN MINI STAR CS,Changan Mini Star CS,2.0,2,2015-01
M BENZ,EQA,Mercedes-Benz EQA,2.0,1,2023-02
M BENZ,EQB,Mercedes-Benz EQB,2.0,1,2023-02
LIFAN,X70,Lifan X70,2.0,1,2018-01
ASTON MARTIN,DB 11,Aston Martin DB 11,1.0,1,2022-08
MCLAREN,540C,McLaren 540C,1.0,1,2018-11
MCLAREN,570GT,McLaren 570GT,1.0,1,2018-06
M BENZ,EQS,Mercedes-Benz EQS,1.0,1,2022-06
VOLVO,S80,Volvo S80,1.0,1,2014-03
KIA,TELLURIDE,Kia Telluride,1.0,1,2023-02
KIA,K900,Kia K900,1.0,1,2019-02
KIA,EV6,Kia EV6,1.0,1,2021-11
JAC,IEV 60,JAC iEV 60,1.0,1,2020-08
